type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,AP,8C:4F:00:2E:CA:B4,-19,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,1575092,0,28,0,0,1.7589,128,[28 -64 1 0 0 0 0 0 0 0 0 0 -45 24 -45 21 -48 22 -50 19 -48 17 -48 16 -49 14 -47 14 -48 13 -46 13 -51 12 -51 12 -50 10 -49 10 -46 8 -51 8 -48 7 -45 6 -47 7 -46 6 -44 6 -44 7 -41 6 -45 7 -46 7 -44 7 0 0 -43 9 -45 8 -45 10 -43 11 -42 10 -44 11 -41 11 -40 12 -41 13 -39 12 -44 14 -39 13 -41 15 -41 14 -41 14 -43 15 -43 16 -41 16 -42 16 -40 18 -41 17 -40 18 -40 18 -43 19 -39 19 -40 20 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,8C:4F:00:2E:CA:B4,-18,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,1580313,0,157,0,0,1.76562,128,[-99 -48 9 0 0 0 0 0 0 0 0 0 12 19 11 19 11 21 11 22 9 21 9 20 8 21 7 20 7 21 7 20 8 22 8 22 7 22 7 21 6 20 6 22 6 20 6 18 6 19 5 19 5 19 5 19 5 17 6 18 7 19 6 19 0 0 7 18 7 18 8 19 8 17 8 17 8 17 8 17 8 16 9 16 8 16 10 17 10 15 11 15 10 16 10 16 11 17 12 16 12 16 11 16 12 15 11 16 12 15 12 15 13 15 13 14 13 14 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,8C:4F:00:2E:CA:B4,-18,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,1596392,0,135,0,0,1.77994,128,[-121 112 8 0 0 0 0 0 0 0 0 0 9 -24 9 -24 10 -25 11 -25 11 -23 11 -23 13 -23 12 -21 13 -22 13 -21 14 -23 15 -22 15 -21 14 -20 13 -19 15 -21 14 -20 12 -18 13 -19 13 -19 12 -18 12 -19 11 -17 12 -19 13 -19 12 -19 0 0 11 -20 11 -20 11 -20 9 -20 9 -19 10 -20 9 -20 8 -19 8 -20 9 -19 9 -21 7 -19 7 -21 8 -20 7 -21 8 -22 7 -22 7 -22 7 -22 5 -22 6 -22 5 -22 6 -22 5 -23 4 -21 4 -22 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,8C:4F:00:2E:CA:B4,-34,11,1,7,1,1,1,0,0,0,1,-96,0,6,1,1606763,0,390,0,0,1.79007,384,[-122 -31 23 0 0 0 0 0 0 0 0 0 -18 5 -15 4 -19 4 -16 2 -19 3 -15 2 -17 2 -17 1 -18 1 -18 0 -17 0 -18 0 -16 -1 -17 -1 -15 -2 -18 -1 -15 -1 -17 -1 -14 -2 -15 -1 -15 -2 -15 -2 -16 -1 -14 -2 -15 -2 -15 -1 0 0 -15 -1 -16 0 -13 -1 -16 1 -13 0 -14 0 -14 0 -13 0 -15 1 -16 2 -14 2 -14 1 -14 1 -13 1 -16 3 -13 3 -16 3 -13 3 -15 3 -15 4 -15 3 -15 4 -17 4 -15 4 -15 4 -14 4 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,8C:4F:00:2E:CA:B4,-33,11,1,6,1,1,1,0,0,0,0,-96,0,6,1,1630130,0,390,0,0,1.81333,384,[-122 -31 23 0 0 0 0 0 0 0 0 0 -9 16 -10 17 -10 16 -12 16 -12 14 -12 15 -13 15 -13 15 -13 14 -13 13 -14 14 -14 14 -14 12 -14 12 -14 12 -14 12 -14 12 -13 11 -14 10 -13 10 -13 10 -14 10 -12 11 -13 10 -13 10 -13 11 0 0 -13 11 -12 11 -12 11 -11 11 -12 11 -11 11 -11 11 -11 11 -11 12 -10 12 -10 13 -10 12 -10 12 -10 13 -10 13 -10 14 -9 13 -9 15 -9 15 -9 14 -9 14 -9 14 -9 14 -8 14 -9 15 -8 16 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,8C:4F:00:2E:CA:B4,-28,11,1,7,1,1,1,0,0,0,1,-96,0,6,1,1652944,0,82,0,0,1.83615,384,[82 -96 4 0 0 0 0 0 0 0 0 0 -17 -3 -17 -4 -17 -5 -17 -5 -16 -5 -17 -5 -16 -6 -17 -6 -16 -6 -15 -7 -17 -7 -17 -7 -15 -8 -15 -8 -15 -8 -15 -8 -15 -7 -15 -7 -14 -8 -14 -7 -13 -8 -14 -7 -14 -7 -13 -7 -13 -7 -14 -7 0 0 -14 -6 -13 -6 -14 -6 -14 -5 -13 -5 -14 -5 -14 -5 -14 -5 -15 -4 -14 -3 -15 -3 -14 -4 -15 -3 -14 -3 -15 -3 -15 -2 -15 -3 -15 -2 -15 -2 -16 -2 -15 -2 -15 -2 -15 -1 -15 -1 -15 -1 -15 0 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,8C:4F:00:2E:CA:B4,-35,11,1,7,1,1,1,0,0,0,1,-96,0,6,1,1904538,0,82,0,0,2.0879,384,[82 -96 4 0 0 0 0 0 0 0 0 0 10 -14 11 -14 11 -13 11 -13 12 -12 12 -12 12 -12 13 -11 13 -11 12 -11 13 -11 13 -11 13 -10 13 -10 13 -9 14 -10 13 -9 13 -9 12 -9 12 -8 12 -8 12 -8 12 -9 12 -8 12 -9 12 -9 0 0 11 -9 11 -9 11 -9 11 -10 10 -9 11 -9 11 -9 10 -9 11 -10 9 -11 10 -11 9 -10 9 -11 9 -11 10 -11 10 -12 9 -11 9 -12 9 -12 9 -13 9 -12 9 -12 8 -12 8 -13 8 -13 8 -13 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,8C:4F:00:2E:CA:B4,-34,11,1,7,1,1,1,0,0,0,1,-96,0,6,1,2106305,0,82,0,0,2.28966,384,[82 -96 4 0 0 0 0 0 0 0 0 0 16 6 16 6 15 8 15 8 15 9 15 9 15 9 15 9 14 9 13 10 14 10 14 10 13 10 13 10 12 11 13 11 12 10 12 10 11 10 11 10 11 10 11 10 12 10 11 9 11 10 12 10 0 0 12 9 11 9 11 9 12 8 11 8 12 8 11 8 11 7 12 7 12 7 13 7 12 7 12 7 13 6 13 6 13 6 13 6 14 5 14 5 14 5 14 5 14 5 14 5 14 5 14 4 14 4 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,8C:4F:00:2E:CA:B4,-35,11,1,7,1,1,1,0,0,0,1,-96,0,6,1,2607399,0,82,0,0,2.79061,384,[82 -96 4 0 0 0 0 0 0 0 0 0 27 -3 31 -2 27 -1 31 0 27 1 32 1 28 3 29 2 28 5 26 1 29 2 30 2 27 3 26 4 28 5 25 6 30 6 23 5 27 6 23 6 24 6 23 6 24 3 24 3 24 3 26 3 0 0 26 3 21 4 25 4 21 1 24 4 23 2 22 3 22 1 24 1 22 -2 24 -2 23 -2 22 -2 24 -2 22 -1 27 -2 21 -3 25 -4 25 -4 24 -4 25 -5 24 -3 22 -5 24 -7 25 -7 25 -7 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,8C:4F:00:2E:CA:B4,-34,11,1,7,1,1,1,0,0,0,1,-96,0,6,1,2904356,0,82,0,0,3.08764,384,[82 -96 4 0 0 0 0 0 0 0 0 0 26 1 26 1 26 3 26 4 26 5 26 4 25 5 26 6 25 6 24 7 25 7 25 7 23 8 23 8 22 8 24 8 23 9 22 8 21 8 20 8 21 9 20 8 21 8 20 8 20 8 21 8 0 0 21 7 20 7 20 7 21 6 20 6 20 6 20 6 20 5 21 5 21 4 21 4 20 4 21 4 21 3 22 3 21 2 21 3 22 1 23 1 22 1 23 1 22 1 22 1 22 1 22 0 22 0 0 0 0 0 0 0 0 0 0 0 ]
