type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,AP,8C:4F:00:2E:CA:B4,-19,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,1363392,0,28,0,0,1.54694,128,[28 -64 1 0 0 0 0 0 0 0 0 0 -5 10 -6 10 -6 10 -7 10 -6 9 -7 9 -7 8 -7 8 -7 8 -7 8 -8 8 -8 8 -8 8 -7 8 -7 7 -7 8 -7 8 -6 7 -7 7 -7 7 -7 7 -7 7 -6 6 -7 7 -7 7 -7 7 0 0 -6 7 -6 7 -6 8 -5 7 -5 7 -6 7 -5 7 -5 7 -5 7 -5 7 -5 8 -5 7 -4 8 -5 8 -5 8 -5 8 -4 8 -4 8 -4 8 -4 8 -4 8 -4 8 -3 8 -4 9 -3 8 -3 8 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,8C:4F:00:2E:CA:B4,-19,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,1369116,0,157,0,0,1.55297,128,[-99 -48 9 0 0 0 0 0 0 0 0 0 3 10 3 10 2 11 2 12 1 10 1 11 1 10 1 10 0 10 1 10 0 11 1 11 0 10 0 10 0 10 0 10 0 10 0 9 0 10 0 9 0 9 0 9 0 8 0 9 0 9 0 9 0 0 1 9 1 9 1 10 1 9 1 8 1 9 1 9 1 8 2 8 1 8 2 9 2 8 2 8 2 8 2 8 2 9 3 9 3 8 2 9 3 8 3 8 3 8 3 8 3 8 4 8 3 8 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,8C:4F:00:2E:CA:B4,-19,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,1387070,0,135,0,0,1.57036,128,[-121 112 8 0 0 0 0 0 0 0 0 0 18 16 17 16 17 17 17 19 15 18 15 18 15 18 13 17 14 18 13 18 13 20 13 20 12 20 12 18 12 17 13 20 12 19 11 16 11 17 11 17 11 16 11 17 10 15 11 17 12 18 11 17 0 0 12 15 13 17 14 16 13 15 13 14 14 15 13 15 13 14 14 13 12 14 14 15 13 13 14 13 14 13 14 13 15 14 16 13 15 13 16 13 15 12 16 12 16 12 16 12 17 12 16 11 16 11 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,8C:4F:00:2E:CA:B4,-29,11,1,7,1,1,1,0,0,0,1,-96,0,6,1,1399076,0,390,0,0,1.58212,384,[-122 -31 23 0 0 0 0 0 0 0 0 0 14 7 13 7 13 8 13 9 12 9 13 9 12 9 12 9 11 9 11 10 11 10 11 11 11 11 10 10 10 10 10 10 10 11 9 10 10 10 10 10 9 10 9 10 9 10 9 10 9 10 10 10 0 0 10 9 9 9 10 9 9 9 10 9 10 8 10 8 9 8 10 8 10 8 11 8 10 7 10 8 11 8 11 7 11 7 11 7 12 6 12 7 12 6 12 6 11 6 11 6 12 6 11 6 12 6 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,8C:4F:00:2E:CA:B4,-35,11,1,7,1,1,1,0,0,0,1,-96,0,6,1,1418825,0,390,0,0,1.60177,384,[-122 -31 23 0 0 0 0 0 0 0 0 0 -18 -2 -18 -3 -18 -3 -19 -4 -18 -4 -18 -5 -17 -4 -17 -5 -17 -6 -17 -6 -17 -6 -17 -6 -17 -7 -16 -7 -16 -7 -16 -6 -16 -6 -15 -6 -15 -6 -15 -6 -15 -6 -15 -6 -14 -6 -15 -6 -15 -6 -15 -6 0 0 -15 -5 -14 -5 -15 -5 -14 -4 -15 -5 -15 -4 -15 -4 -15 -4 -15 -3 -15 -3 -15 -3 -14 -3 -15 -2 -15 -2 -15 -2 -16 -1 -15 -1 -16 -1 -16 -1 -16 0 -15 0 -15 0 -15 0 -16 1 -16 0 -15 1 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,8C:4F:00:2E:CA:B4,-35,11,1,7,1,1,1,0,0,0,1,-96,0,6,1,1437741,0,82,0,0,1.62062,384,[82 -96 4 0 0 0 0 0 0 0 0 0 -7 23 -9 23 -9 22 -10 22 -10 22 -11 21 -11 21 -11 20 -12 20 -12 20 -13 20 -12 20 -12 19 -13 19 -13 18 -13 19 -13 18 -12 18 -13 18 -12 17 -13 17 -12 17 -12 17 -12 17 -12 17 -11 18 0 0 -11 18 -11 17 -11 18 -10 17 -10 18 -9 17 -9 17 -9 17 -9 18 -8 18 -8 18 -7 18 -8 18 -7 19 -7 19 -7 20 -6 19 -6 20 -6 20 -6 20 -5 20 -5 19 -5 20 -4 20 -4 19 -4 20 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,8C:4F:00:2E:CA:B4,-35,11,1,7,1,1,1,0,0,0,1,-96,0,6,1,1700040,0,82,0,0,1.88305,384,[82 -96 4 0 0 0 0 0 0 0 0 0 -24 5 -25 4 -25 4 -26 2 -25 2 -25 1 -24 0 -24 0 -24 -1 -24 -1 -24 -1 -25 -2 -24 -2 -24 -2 -24 -2 -23 -2 -23 -3 -22 -3 -23 -3 -22 -3 -22 -3 -21 -3 -21 -3 -21 -3 -22 -3 -22 -3 0 0 -21 -2 -21 -1 -22 -2 -21 -1 -21 -1 -21 -1 -20 -1 -20 -1 -21 0 -20 1 -21 1 -20 1 -21 1 -21 2 -21 1 -21 2 -20 2 -22 3 -21 2 -21 3 -21 3 -21 3 -21 4 -21 4 -21 4 -21 5 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,8C:4F:00:2E:CA:B4,-35,11,1,7,1,1,1,0,0,0,1,-96,0,6,1,1899416,0,82,0,0,2.08256,384,[82 -96 4 0 0 0 0 0 0 0 0 0 -4 -9 -4 -9 -4 -9 -3 -10 -3 -10 -3 -10 -2 -9 -2 -10 -2 -10 -2 -9 -2 -10 -2 -9 -1 -9 -2 -9 -1 -9 -1 -9 -1 -9 -1 -9 -1 -9 -1 -9 -1 -9 -1 -9 -1 -8 -1 -9 -1 -9 -1 -9 0 0 -1 -9 -1 -8 -1 -8 -2 -8 -1 -8 -2 -8 -2 -8 -2 -8 -2 -8 -2 -8 -3 -8 -2 -8 -2 -8 -3 -8 -2 -8 -3 -8 -3 -8 -3 -8 -3 -8 -3 -8 -3 -8 -3 -8 -3 -8 -4 -8 -3 -8 -4 -8 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,8C:4F:00:2E:CA:B4,-35,11,1,7,1,1,1,0,0,0,1,-96,0,6,1,2402847,0,82,0,0,2.58582,384,[82 -96 4 0 0 0 0 0 0 0 0 0 7 -5 8 -5 8 -5 8 -5 8 -5 8 -4 8 -4 8 -4 8 -3 8 -3 8 -3 8 -3 8 -3 8 -3 8 -3 8 -2 8 -3 7 -2 8 -3 8 -2 8 -2 8 -2 7 -2 7 -2 7 -3 7 -3 0 0 7 -3 7 -3 7 -3 7 -3 7 -3 7 -3 7 -3 7 -3 7 -3 6 -4 6 -4 6 -4 6 -4 7 -4 6 -4 7 -4 6 -4 6 -5 6 -5 6 -5 6 -5 6 -4 6 -5 6 -5 6 -5 6 -5 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,8C:4F:00:2E:CA:B4,-35,11,1,7,1,1,1,0,0,0,1,-96,0,6,1,2693125,0,82,0,0,2.87608,384,[82 -96 4 0 0 0 0 0 0 0 0 0 11 20 11 21 10 21 10 22 9 22 8 23 7 22 6 22 7 22 6 21 6 22 5 22 4 22 5 22 4 22 4 22 4 22 4 21 4 21 4 21 4 20 4 20 3 20 3 20 4 20 4 21 0 0 5 19 5 19 5 20 6 18 5 19 6 19 6 19 6 18 7 19 7 18 8 18 7 18 8 18 8 18 8 17 10 18 9 17 11 18 10 18 11 17 9 18 10 17 10 17 11 17 11 17 11 16 0 0 0 0 0 0 0 0 0 0 ]
